LineName,A,B,cap A to B,cap B to A,Units,Downtime,Avg downtime duration
Storebaelt,DK1,DK2,590,600,1,0.1,96
Skagerrak,DK1,NOs,1632,1632,4,0.1,96
Kontiskan,DK1,SE3,715,715,2,0.1,96
DK1_Tyskland,DK1,DELU,2500,2500,4,0.08,48
Vestkystforbindelsen,DK1,DELU,1000,1000,1,0.08,48
COBRAcable,DK1,NL,700,700,1,0.1,96
VikingLink,DK1,GB,1400,1400,1,0.1,96
oeresund1-2,DK2,SE4,0,0,2,0.08,48
oeresund3-4,DK2,SE4,0,0,2,0.08,48
oeresund1,DK2,SE4,1038,900,1,0.08,48
oeresund2,DK2,SE4,462,400,1,0.08,48
Bornholm_Sverige,DKBO,SE4,70,70,1,0.08,48
Kontek,DK2,DELU,600,585,1,0.1,96
DK2-KriegersFlak,DK2,DKKF,600,600,1,0.1,96
Tyskland-KriegersFlak,DKKF,DELU,400,400,1,0.1,96
EnergyIsland-DK1,DKEI,DK1,0,0,2,0.1,96
EnergyIsland-BE,DKEI,BE,0,0,2,0.1,96
Bornholm-DK2,DKBO,DK2,0,0,2,0.1,96
Bornholm-DE,DKBO,DELU,0,0,2,0.1,96
NOmNOn,NOm,NOn,1200,1200,3,0.04,48
NOmNOs,NOm,NOs,1375,1375,3,0.04,48
SE1SE2,SE1,SE2,3300,3300,3,0.04,48
SE2SE3,SE2,SE3,8100,8100,8,0.04,48
SE3SE4,SE3,SE4,5400,2000,5,0.04,48
Sydvaestlaenken,SE3,SE4,800,800,2,0.1,96
NOmSE2,NOm,SE2,600,1000,6,0.04,48
NOnSE1,NOn,SE1,700,473,6,0.04,48
NOnSE2,NOn,SE2,158,263,6,0.04,48
NOsSE3,NOs,SE3,2145,2095,6,0.04,48
NorwayFinland,NOn,FI,100,100,1,0.04,48
NordLink,NOs,DELU,1400,1400,1,0.1,96
NorNed,NOs,NL,700,700,1,0.1,96
NSN_NorthConnect,NOs,GB,1464,1464,2,0.1,96
SE1FI,SE1,FI,1200,1100,3,0.04,48
SE3FI,SE3,FI,1200,1200,2,0.1,96
SwedenGermany,SE4,DELU,615,615,1,0.1,96
SweLit,SE4,EELVLT,700,700,1,0.1,96
Staernoe-Slupsk,SE4,PL,600,600,1,0.1,96
Estlink,FI,EELVLT,1016,1016,2,0.1,96
DE_NL,DELU,NL,4400,4400,5,0.04,48
DE_AT,DELU,AT,5400,5400,8,0.04,48
DE_PL,DELU,PL,2000,3000,3,0.04,48
DE_GB,DELU,GB,1400,1400,2,0.1,96
DE_FR,DELU,FR,3380,3380,5,0.04,48
DE_CH,DELU,CH,3300,4200,5,0.04,48
DELU_BE_AC,DELU,BE,380,380,1,0.04,48
DELU_BE_DC,DELU,BE,1000,1000,1,0.1,96
DELU_CZSK,DELU,CZSK,1500,2100,3,0.04,48
CZSK_PL,CZSK,PL,1890,1790,2,0.04,48
AT_CZ,AT,CZSK,900,900,1,0.04,48
AT_HU,AT,HU,800,800,1,0.04,48
AT_IT,AT,IT,1355,1150,6,0.04,48
NL_GB,NL,GB,1000,1000,1,0.1,96
NL_BE,NL,BE,2400,2400,3,0.04,48
BE_FR,BE,FR,2800,4300,4,0.04,48
BE_GB,BE,GB,1000,1000,1,0.1,96
GB_FR,GB,FR,4000,4000,6,0.1,96
FR_ES,FR,ESPT,2800,2600,5,0.04,48
FR_CH,FR,CH,3200,1300,3,0.04,48
FR_IT,FR,IT,4350,2160,4,0.04,48
AT_CH,AT,CH,1200,1200,2,0.04,48
CH_IT_AC,CH,IT,3750,1700,4,0.04,48
CH_IT_DC,CH,IT,0,0,1,0.1,96
LT_PL,EELVLT,PL,500,500,1,0.1,96
SlovakiaHungary,CZSK,HU,2600,1800,3,0.04,48
